,code,xchipre11,mchipre11,xue11,mue11
0,1.0,1.0,2,12499,9761
1,2.0,14.0,65,55064,47434
2,3.0,28.0,60,21887,37904
3,4.0,82.0,90,53020,42436
4,5.0,2.0,2,3423,4114
5,6.0,0.0,17,15672,12348
6,7.0,86.0,36,24391,26948
7,8.0,38.0,61,27857,42192
8,9.0,1.0,16,10649,22351
9,10.0,0.0,168,26498,23920
10,11.0,5.0,11,7093,5312
11,12.0,4.0,14,14537,23852
12,13.0,0.0,1,1880,2302
89,14.0,,0,123,364
13,15.0,5.0,55,26349,33346
14,16.0,2.0,45,15675,20248
15,17.0,1.0,34,12720,15503
16,18.0,0.0,37,22147,24056
17,19.0,6.0,110,32828,24865
18,20.0,30.0,58,26224,27026
19,21.0,9.0,109,28168,23741
20,22.0,13.0,163,67196,43069
21,23.0,7.0,125,22505,29595
22,24.0,69.0,135,20584,19805
23,25.0,21.0,14,13805,16734
24,26.0,0.0,1,12408,49379
25,27.0,348.0,2204,397310,971378
26,28.0,0.0,16,35230,45014
27,29.0,171.0,80,166243,180526
28,30.0,281.0,302,304738,235194
29,31.0,0.0,19,16274,17137
30,32.0,3.0,54,41609,34017
31,33.0,6.0,146,60635,39677
32,34.0,2.0,71,29789,23553
33,35.0,1.0,11,12725,10490
34,36.0,3.0,5,1199,1140
35,37.0,0.0,8,7377,5941
36,38.0,12.0,59,84189,75128
37,39.0,16.0,232,236367,217443
38,40.0,5.0,81,77055,83636
39,41.0,6.0,0,12033,11452
40,42.0,2.0,44,21918,22770
41,43.0,0.0,4,4695,2283
42,44.0,2.0,92,50294,48232
90,45.0,,1,1595,1095
91,46.0,,1,240,766
43,47.0,7.0,0,15728,18901
44,48.0,7.0,158,105902,86948
45,49.0,8.0,46,23698,17534
92,50.0,,1,796,995
46,51.0,0.0,0,6003,6064
47,52.0,0.0,3,8438,10009
48,53.0,0.0,1,1246,1110
49,54.0,0.0,5,10015,11582
50,55.0,0.0,6,8081,10244
51,56.0,0.0,9,10953,8545
52,57.0,0.0,10,5932,5789
53,58.0,0.0,2,3135,2866
54,59.0,0.0,6,8606,6865
55,60.0,0.0,2,5107,4231
56,61.0,6.0,153,49124,85131
57,62.0,5.0,194,60982,88279
58,63.0,1.0,32,12389,19056
59,64.0,13.0,107,41312,49361
60,65.0,0.0,4,2115,3053
61,66.0,0.0,2,497,1134
93,67.0,,2,471,1143
62,68.0,1.0,60,20008,16394
63,69.0,1.0,79,19713,14808
64,70.0,1.0,43,29695,27344
65,71.0,53.0,46,112730,102076
66,72.0,61.0,176,188359,184969
67,73.0,19.0,156,133241,105602
68,74.0,56.0,19,58687,58181
94,75.0,,0,7741,12524
69,76.0,17.0,74,66626,73135
70,78.0,1.0,0,2867,3085
71,79.0,0.0,1,5897,6340
95,80.0,,0,1150,2329
96,81.0,,0,4672,7484
72,82.0,3.0,27,24987,23170
73,83.0,0.0,32,27483,24725
74,84.0,86.0,599,836275,662718
75,85.0,154.0,593,535558,572210
76,86.0,0.0,0,14543,9587
77,87.0,34.0,586,638425,497171
78,88.0,17.0,31,104054,69011
79,89.0,5.0,13,27766,26456
80,90.0,65.0,153,190419,156590
81,91.0,11.0,29,7545,11334
82,92.0,0.0,4,1771,2368
83,93.0,25.0,16,2528,2103
84,94.0,13.0,203,82447,76235
85,95.0,2.0,64,25518,39218
86,96.0,2.0,16,9496,9786
87,97.0,0.0,2,9204,8722
88,99.0,0.0,96,184302,134104
