,code,idep,iesp,scr,irx,irm,igl
0,1.0,14.18,24.1,-33.33,0.05,0.02,66.67
1,2.0,94.82,76.57,-64.56,0.72,0.75,35.44
2,3.0,109.54,385.29,-36.36,1.43,0.69,63.64
3,4.0,146.76,465.79,-4.65,4.19,1.03,95.35
4,5.0,33.64,175.97,0.0,0.1,0.02,100.0
5,6.0,95.27,0.0,-100.0,0.0,0.19,0.0
6,7.0,92.44,1061.9,40.98,4.4,0.41,59.02
7,8.0,100.05,410.83,-23.23,1.94,0.7,76.77
8,9.0,49.54,28.28,-88.24,0.05,0.18,11.76
9,10.0,486.01,0.0,-100.0,0.0,1.93,0.0
10,11.0,143.29,212.3,-37.5,0.26,0.13,62.5
11,12.0,40.62,82.87,-55.56,0.2,0.16,44.44
12,13.0,30.06,0.0,-100.0,0.0,0.01,0.0
89,14.0,0.0,,,,0.0,
13,15.0,114.13,57.15,-83.33,0.26,0.63,16.67
14,16.0,153.79,38.43,-91.49,0.1,0.52,8.51
15,17.0,151.76,23.68,-94.29,0.05,0.39,5.71
16,18.0,106.43,0.0,-100.0,0.0,0.42,0.0
17,19.0,306.13,55.05,-89.66,0.31,1.26,10.34
18,20.0,148.51,344.54,-31.82,1.53,0.67,68.18
19,21.0,317.7,96.23,-84.75,0.46,1.25,15.25
20,22.0,261.89,58.27,-85.23,0.66,1.87,14.77
21,23.0,292.27,93.68,-89.39,0.36,1.43,10.61
22,24.0,471.69,1009.57,-32.35,3.53,1.55,67.65
23,25.0,57.89,458.14,20.0,1.07,0.16,80.0
24,26.0,1.4,0.0,-100.0,0.0,0.01,0.0
25,27.0,157.01,263.79,-72.73,17.79,25.28,27.27
26,28.0,24.6,0.0,-100.0,0.0,0.18,0.0
27,29.0,30.67,309.79,36.25,8.74,0.92,63.75
28,30.0,88.85,277.71,-3.6,14.37,3.46,96.4
29,31.0,76.72,0.0,-100.0,0.0,0.22,0.0
30,32.0,109.85,21.71,-89.47,0.15,0.62,10.53
31,33.0,254.63,29.8,-92.11,0.31,1.67,7.89
32,34.0,208.6,20.22,-94.52,0.1,0.81,5.48
33,35.0,72.56,23.67,-83.33,0.05,0.13,16.67
34,36.0,303.5,753.56,-25.0,0.15,0.06,75.0
35,37.0,93.18,0.0,-100.0,0.0,0.09,0.0
36,38.0,54.34,42.93,-66.2,0.61,0.68,33.8
37,39.0,73.83,20.39,-87.1,0.82,2.66,12.9
38,40.0,67.02,19.54,-88.37,0.26,0.93,11.63
39,41.0,0.0,150.17,100.0,0.31,0.0,0.0
40,42.0,133.72,27.48,-91.3,0.1,0.5,8.7
41,43.0,121.24,0.0,-100.0,0.0,0.05,0.0
42,44.0,131.99,11.98,-95.74,0.1,1.06,4.26
90,45.0,63.19,,,,0.01,
91,46.0,90.34,,,,0.01,
43,47.0,0.0,134.04,100.0,0.36,0.0,0.0
44,48.0,125.75,19.91,-91.52,0.36,1.81,8.48
45,49.0,181.54,101.67,-70.37,0.41,0.53,29.63
92,50.0,69.55,,,,0.01,
46,51.0,0.0,0.0,,0.0,0.0,
47,52.0,20.74,0.0,-100.0,0.0,0.03,0.0
48,53.0,62.34,0.0,-100.0,0.0,0.01,0.0
49,54.0,29.87,0.0,-100.0,0.0,0.06,0.0
50,55.0,40.53,0.0,-100.0,0.0,0.07,0.0
51,56.0,72.88,0.0,-100.0,0.0,0.1,0.0
52,57.0,119.53,0.0,-100.0,0.0,0.11,0.0
53,58.0,48.29,0.0,-100.0,0.0,0.02,0.0
54,59.0,60.48,0.0,-100.0,0.0,0.07,0.0
55,60.0,32.71,0.0,-100.0,0.0,0.02,0.0
56,61.0,124.37,36.79,-92.45,0.31,1.75,7.55
57,62.0,152.07,24.69,-94.97,0.26,2.22,5.03
58,63.0,116.2,24.31,-93.94,0.05,0.37,6.06
59,64.0,150.0,94.77,-78.33,0.66,1.23,21.67
60,65.0,90.66,0.0,-100.0,0.0,0.05,0.0
61,66.0,122.04,0.0,-100.0,0.0,0.02,0.0
93,67.0,121.08,,,,0.02,
62,68.0,253.26,15.05,-96.72,0.05,0.69,3.28
63,69.0,369.17,15.28,-97.5,0.05,0.91,2.5
64,70.0,108.82,10.14,-95.45,0.05,0.49,4.55
65,71.0,31.18,141.6,7.07,2.71,0.53,92.93
66,72.0,65.84,97.53,-48.52,3.12,2.02,51.48
67,73.0,102.22,42.95,-78.29,0.97,1.79,21.71
68,74.0,22.6,287.38,49.33,2.86,0.22,50.67
94,75.0,0.0,,,,0.0,
69,76.0,70.02,76.85,-62.64,0.87,0.85,37.36
70,78.0,0.0,105.05,100.0,0.05,0.0,0.0
71,79.0,10.91,0.0,-100.0,0.0,0.01,0.0
95,80.0,0.0,,,,0.0,
96,81.0,0.0,,,,0.0,
72,82.0,80.64,36.16,-80.0,0.15,0.31,20.0
73,83.0,89.56,0.0,-100.0,0.0,0.37,0.0
74,84.0,62.55,30.97,-74.89,4.4,6.87,25.11
75,85.0,71.71,86.6,-58.77,7.87,6.8,41.23
76,86.0,0.0,0.0,,0.0,0.0,
77,87.0,81.56,16.04,-89.03,1.74,6.72,10.97
78,88.0,31.08,49.2,-29.17,0.87,0.36,70.83
79,89.0,34.0,54.23,-44.44,0.26,0.15,55.56
80,90.0,67.61,102.81,-40.37,3.32,1.75,59.63
81,91.0,177.06,439.09,-45.0,0.56,0.33,55.0
82,92.0,116.89,0.0,-100.0,0.0,0.05,0.0
83,93.0,526.47,2978.38,21.95,1.28,0.18,78.05
84,94.0,184.26,47.49,-87.96,0.66,2.33,12.04
85,95.0,112.93,23.6,-93.94,0.1,0.73,6.06
86,96.0,113.14,63.43,-77.78,0.1,0.18,22.22
87,97.0,15.87,0.0,-100.0,0.0,0.02,0.0
88,99.0,49.54,0.0,-100.0,0.0,1.1,0.0
